Sample	lib_type	sample_index	expected_cells
TBd2_frozen_SLN4a	vdj	H11	10
TBd5_frozen_PBa	vdj	A8	10
TBd6_frozen_MLNa	vdj	H1	10
TBd6_frozen_SLN1a	vdj	H10	10
TBd6_frozen_SLN2a	vdj	H5	10
TBd2_frozen_SLN4b	vdj	A11	10
TBd5_frozen_PBb	vdj	A7	10
TBd6_frozen_MLNb	vdj	A12	10
TBd6_frozen_SLN1b	vdj	H7	10
TBd6_frozen_SLN2b	vdj	H6	10
TBd2_frozen_SLN4overA	vdj	G4	40
TBd5_frozen_PBoverA	vdj	G8	40
TBd6_frozen_MLNoverA	vdj	H2	40
TBd6_frozen_SLN1overA	vdj	G2	40
TBd6_frozen_SLN2overA	vdj	G1	40
TBd2_frozen_SLN4overB	vdj	A10	40
TBd5_frozen_PBoverB	vdj	A9	40
TBd6_frozen_MLNoverB	vdj	H8	40
TBd6_frozen_SLN1overB	vdj	H9	40
TBd6_frozen_SLN2overB	vdj	H4	40
TBd7_frozen_PBa	vdj	F1	10
TBd7_frozen_BMHLa	vdj	F2	10
TBd7_frozen_BMHRa	vdj	F3	10
TBd7_frozen_PBb	vdj	F4	10
TBd7_frozen_BMHLb	vdj	F5	10
TBd7_frozen_BMHRb	vdj	F6	10
TBd7_frozen_PBoverA	vdj	F7	40
TBd7_frozen_BMHLoverA	vdj	F8	40
TBd7_frozen_BMHRoverA	vdj	F9	40
TBd7_frozen_PBoverB	vdj	F10	40
TBd7_frozen_BMHLoverB	vdj	F11	40
TBd7_frozen_BMHRoverB	vdj	F12	40
TBd2_frozen_SLN4	gex	B1	20
TBd5_frozen_PB	gex	B5	5
TBd6_frozen_MLN	gex	B2	20
TBd6_frozen_SLN1	gex	B3	20
TBd6_frozen_SLN2	gex	B4	20
TBd5_frozen_PBover	gex	B6	20
TBd7_frozen_PB	gex	E9	20
TBd7_BM_HL	gex	E10	20
TBd7_BM_HR	gex	E11	20